,GMT,PCP01,MPN
1,201705010051,0,
2,201705010151,0,
3,201705010251,0,
4,201705010351,0,
5,201705010451,0,
6,201705010551,0,
7,201705010651,0,
8,201705010751,0,
9,201705010851,0,
10,201705010951,0,
11,201705011051,0,
12,201705011151,0,
13,201705011251,0,
14,201705011351,0,
15,201705011451,0,
16,201705011551,0,
17,201705011651,0,
18,201705011751,0,
19,201705011851,0,
20,201705011951,0,
21,201705012051,0,
22,201705012151,0,
23,201705012251,0,
24,201705012351,0,
25,201705020051,0,
26,201705020151,0,
27,201705020251,0,
28,201705020351,0,
29,201705020451,0,
30,201705020551,0,
31,201705020651,0,
32,201705020751,0,
33,201705020851,0,
34,201705020951,0,
35,201705021051,0,
36,201705021151,0,
37,201705021251,0,
38,201705021351,0,
39,201705021451,0,
40,201705021551,0,
41,201705021651,0,
42,201705021751,0,
43,201705021851,0,
44,201705021951,0,
45,201705022051,0,
46,201705022151,0,
47,201705022251,0,
48,201705022351,0,
49,201705030051,0,
50,201705030151,0,
51,201705030251,0,
52,201705030351,0,
53,201705030451,0,
54,201705030551,0,
55,201705030651,0,
56,201705030751,0,
57,201705030851,0,
58,201705030951,0,
59,201705031051,0,
60,201705031151,0,
61,201705031251,0,
62,201705031351,0,
63,201705031451,0,
64,201705031551,0,
65,201705031651,0,
66,201705031751,0,
67,201705031851,0,
68,201705031951,0,
69,201705032051,0,
70,201705032151,0,
71,201705032251,0,
72,201705032351,0,
73,201705040051,0,
74,201705040151,0,
75,201705040251,0,
76,201705040351,0,
77,201705040451,0,
78,201705040551,0,
79,201705040651,0,
80,201705040751,0,
81,201705040851,0,
82,201705040951,0,
83,201705041051,0,
84,201705041151,0,
85,201705041251,0,
86,201705041351,0,
87,201705041451,0,
88,201705041551,0,
89,201705041651,0,
90,201705041751,0,
91,201705041851,0,
92,201705041951,0,
93,201705042051,0,
94,201705042151,0,
95,201705042251,0,
96,201705042351,0,
97,201705050051,0,
98,201705050151,0,
99,201705050251,0,
100,201705050351,0,
101,201705050451,0,
102,201705050551,0,
103,201705050651,0,
104,201705050751,0,
105,201705050851,0,
106,201705050951,0,
